PITag,OpcTag
HA1.T0001.WNAC.WdSpd,SCRAB.T0001.WNAC.WdSpd
HA1.T0002.WNAC.WdSpd,SCRAB.T0002.WNAC.WdSpd
HA1.T0003.WNAC.WdSpd,SCRAB.T0003.WNAC.WdSpd
HA1.T0001.WROT.RotSpd,SCRAB.T0001.WROT.RotSpd
HA1.T0002.WROT.RotSpd,SCRAB.T0002.WROT.RotSpd
HA1.T0003.WROT.RotSpd,SCRAB.T0003.WROT.RotSpd
HA1.T0001.WTUR.NoiseLev,SCRAB.T0001.WTUR.NoiseLev
HA1.T0002.WTUR.NoiseLev,SCRAB.T0002.WTUR.NoiseLev
HA1.T0003.WTUR.NoiseLev,SCRAB.T0003.WTUR.NoiseLev
HA1.T0001.WTUR.TurSt.actSt,SCRAB.T0001.WTUR.TurSt.actSt
HA1.T0002.WTUR.TurSt.actSt,SCRAB.T0002.WTUR.TurSt.actSt
HA1.T0003.WTUR.TurSt.actSt,SCRAB.T0003.WTUR.TurSt.actSt
HA1.T0001.WNAC.ExTmp,SCRAB.T0001.WNAC.ExTmp
HA1.T0002.WNAC.ExTmp,SCRAB.T0002.WNAC.ExTmp
HA1.T0003.WNAC.ExTmp,SCRAB.T0003.WNAC.ExTmp
HA1.MET2.WMET1.AvMetAlt1Hum,
HA1.MET2.WMET1.AvMetAlt1Tmp,
HA1.MET2.WMET1.AvMetAlt6Hum,
HA1.MET2.WMET1.AvMetAlt6Tmp,
HA1.MET1.WMET1.AvMetAlt1Hum,
HA1.MET1.WMET1.AvMetAlt1Tmp,
HA1.MET1.WMET1.AvMetAlt6Hum,
HA1.MET1.WMET1.AvMetAlt6Tmp,
